,Province/State,Country/Region,Lat,Long,Date,Confirmed,Recovered,Deaths,Month-Year,Date Shifted,Confirmed Daily,Recovered Daily,Deaths Daily
120,Kentucky,US,37.6681,-84.6701,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
121,District of Columbia,US,38.8974,-77.0268,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
122,Nevada,US,38.3135,-117.0554,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
123,New Hampshire,US,43.4525,-71.5639,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
124,Minnesota,US,45.6945,-93.9002,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
125,Nebraska,US,41.1254,-98.2681,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
126,Ohio,US,40.3888,-82.7649,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
127,Rhode Island,US,41.6809,-71.5118,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
128,Wisconsin,US,44.2685,-89.6165,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
129,Connecticut,US,41.5978,-72.7554,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
130,Hawaii,US,21.0943,-157.4983,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
131,Oklahoma,US,35.5653,-96.9289,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
132,Utah,US,40.15,-111.8624,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
133,Burkina Faso,Burkina Faso,12.2383,-1.5616,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
134,Holy See,Holy See,41.9029,12.4534,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
135,Mongolia,Mongolia,46.8625,103.8467,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
136,Panama,Panama,8.538,-80.7821,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
137,Kansas,US,38.5266,-96.7265,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
138,Louisiana,US,31.1695,-91.8678,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
139,Missouri,US,38.4561,-92.2884,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
140,Vermont,US,44.0459,-72.7107,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
141,Alaska,US,61.3707,-152.4044,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
142,Arkansas,US,34.9697,-92.3731,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
143,Delaware,US,39.3185,-75.5071,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
144,Idaho,US,44.2405,-114.4788,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
145,Maine,US,44.6939,-69.3819,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
146,Michigan,US,43.3266,-84.5361,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
147,Mississippi,US,32.7416,-89.6787,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
148,Montana,US,46.9219,-110.4544,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
149,New Mexico,US,34.8405,-106.2485,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
150,North Dakota,US,47.5289,-99.784,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
151,South Dakota,US,44.2998,-99.4388,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
152,West Virginia,US,38.4912,-80.9545,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
153,Wyoming,US,42.756,-107.3025,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
154,Hubei,China,30.9756,112.2707,2020-01-22,444.0,28.0,17.0,Jan-2020,2020-01-23,0.0,0.0,0.0
155,Iran,Iran,32.0,53.0,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
156,"Korea, South","Korea, South",36.0,128.0,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
157,France,France,46.2276,2.2137,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
158,Guangdong,China,23.3417,113.4244,2020-01-22,26.0,0.0,0.0,Jan-2020,2020-01-23,6.0,2.0,0.0
159,Henan,China,33.882,113.614,2020-01-22,5.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
160,Zhejiang,China,29.1832,120.0934,2020-01-22,10.0,0.0,0.0,Jan-2020,2020-01-23,17.0,0.0,0.0
161,Hunan,China,27.6104,111.7088,2020-01-22,4.0,0.0,0.0,Jan-2020,2020-01-23,5.0,0.0,0.0
162,Anhui,China,31.8257,117.2264,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,8.0,0.0,0.0
163,Jiangxi,China,27.614,115.7221,2020-01-22,2.0,0.0,0.0,Jan-2020,2020-01-23,5.0,0.0,0.0
164,Shandong,China,36.3427,118.1498,2020-01-22,2.0,0.0,0.0,Jan-2020,2020-01-23,4.0,0.0,0.0
165,Diamond Princess,Cruise Ship,35.4437,139.638,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
166,Jiangsu,China,32.9711,119.455,2020-01-22,1.0,0.0,0.0,Jan-2020,2020-01-23,4.0,0.0,0.0
167,Chongqing,China,30.0572,107.874,2020-01-22,6.0,0.0,0.0,Jan-2020,2020-01-23,3.0,0.0,0.0
168,Sichuan,China,30.6171,102.7103,2020-01-22,5.0,0.0,0.0,Jan-2020,2020-01-23,3.0,0.0,0.0
169,Heilongjiang,China,47.862,127.7615,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,2.0,0.0,0.0
170,Denmark,Denmark,56.2639,9.5018,2020-01-22,0.0,0.0,0.0,Jan-2020,2020-01-23,0.0,0.0,0.0
